gcp_id,scene_id,target_year,requested_pool_size,candidate_pool_size,nearest_candidate_error_px,coverage_2px,coverage_5px,coverage_10px,true_candidate_available
ctx_51RUQ_000001,51RUQ_20250916T024141,2025,100,100,652.4860417910711,False,False,False,False
ctx_51RUQ_000001,51RUQ_20250916T024141,2025,500,500,128.25919401891193,False,False,False,False
ctx_51RUQ_000001,51RUQ_20250916T024141,2025,1000,1000,128.25919401891193,False,False,False,False
ctx_51RUQ_000001,51RUQ_20250916T024141,2025,5000,5000,42.62025292949825,False,False,False,False
ctx_51RUQ_000003,51RUQ_20250916T024141,2025,100,100,404.6161388237953,False,False,False,False
ctx_51RUQ_000003,51RUQ_20250916T024141,2025,500,500,81.62555276353108,False,False,False,False
ctx_51RUQ_000003,51RUQ_20250916T024141,2025,1000,1000,61.3900590712189,False,False,False,False
ctx_51RUQ_000003,51RUQ_20250916T024141,2025,5000,5000,8.288257470506485,False,False,True,False
ctx_51RUQ_000004,51RUQ_20250916T024141,2025,100,100,22.125001441981222,False,False,False,False
ctx_51RUQ_000004,51RUQ_20250916T024141,2025,500,500,7.998855443725296,False,False,True,False
ctx_51RUQ_000004,51RUQ_20250916T024141,2025,1000,1000,7.998855443725296,False,False,True,False
ctx_51RUQ_000004,51RUQ_20250916T024141,2025,5000,5000,7.998855443725296,False,False,True,False
ctx_51RUQ_000005,51RUQ_20250916T024141,2025,100,100,73.31266698411831,False,False,False,False
ctx_51RUQ_000005,51RUQ_20250916T024141,2025,500,500,49.12513535587477,False,False,False,False
ctx_51RUQ_000005,51RUQ_20250916T024141,2025,1000,1000,49.12513535587477,False,False,False,False
ctx_51RUQ_000005,51RUQ_20250916T024141,2025,5000,5000,48.6168646805717,False,False,False,False
ctx_51RUQ_000007,51RUQ_20250916T024141,2025,100,100,439.01721897504683,False,False,False,False
ctx_51RUQ_000007,51RUQ_20250916T024141,2025,500,500,75.36943838476924,False,False,False,False
ctx_51RUQ_000007,51RUQ_20250916T024141,2025,1000,1000,73.88957940258594,False,False,False,False
ctx_51RUQ_000007,51RUQ_20250916T024141,2025,5000,5000,52.10864111920843,False,False,False,False
ctx_51RUQ_000009,51RUQ_20250916T024141,2025,100,100,319.7662138862381,False,False,False,False
ctx_51RUQ_000009,51RUQ_20250916T024141,2025,500,500,319.7662138862381,False,False,False,False
ctx_51RUQ_000009,51RUQ_20250916T024141,2025,1000,1000,319.7662138862381,False,False,False,False
ctx_51RUQ_000009,51RUQ_20250916T024141,2025,5000,5000,63.939841573529954,False,False,False,False
ctx_51RUQ_000027,51RUQ_20250916T024141,2025,100,100,407.8116231891089,False,False,False,False
ctx_51RUQ_000027,51RUQ_20250916T024141,2025,500,500,86.09300114026675,False,False,False,False
ctx_51RUQ_000027,51RUQ_20250916T024141,2025,1000,1000,57.123730409435055,False,False,False,False
ctx_51RUQ_000027,51RUQ_20250916T024141,2025,5000,5000,57.123730409435055,False,False,False,False
ctx_51RUQ_000028,51RUQ_20250916T024141,2025,100,100,335.3752015209088,False,False,False,False
ctx_51RUQ_000028,51RUQ_20250916T024141,2025,500,500,126.82480129362551,False,False,False,False
ctx_51RUQ_000028,51RUQ_20250916T024141,2025,1000,1000,126.82480129362551,False,False,False,False
ctx_51RUQ_000028,51RUQ_20250916T024141,2025,5000,5000,69.01606035147424,False,False,False,False
ctx_51RUQ_000030,51RUQ_20250916T024141,2025,100,100,801.8333738744252,False,False,False,False
ctx_51RUQ_000030,51RUQ_20250916T024141,2025,500,500,161.43956877903517,False,False,False,False
ctx_51RUQ_000030,51RUQ_20250916T024141,2025,1000,1000,144.02342374081954,False,False,False,False
ctx_51RUQ_000030,51RUQ_20250916T024141,2025,5000,5000,123.76366322666601,False,False,False,False
ctx_51RUQ_000055,51RUQ_20250916T024141,2025,100,100,111.45392801803119,False,False,False,False
ctx_51RUQ_000055,51RUQ_20250916T024141,2025,500,500,111.45392801803119,False,False,False,False
ctx_51RUQ_000055,51RUQ_20250916T024141,2025,1000,1000,111.45392801803119,False,False,False,False
ctx_51RUQ_000055,51RUQ_20250916T024141,2025,5000,5000,111.45392801803119,False,False,False,False
ctx_51RUQ_000056,51RUQ_20250916T024141,2025,100,100,195.32378113050112,False,False,False,False
ctx_51RUQ_000056,51RUQ_20250916T024141,2025,500,500,195.32378113050112,False,False,False,False
ctx_51RUQ_000056,51RUQ_20250916T024141,2025,1000,1000,107.98736702242994,False,False,False,False
ctx_51RUQ_000056,51RUQ_20250916T024141,2025,5000,5000,73.42706616795138,False,False,False,False
ctx_51RUQ_000057,51RUQ_20250916T024141,2025,100,100,204.85076381273913,False,False,False,False
ctx_51RUQ_000057,51RUQ_20250916T024141,2025,500,500,95.09691552573638,False,False,False,False
ctx_51RUQ_000057,51RUQ_20250916T024141,2025,1000,1000,49.3128202830096,False,False,False,False
ctx_51RUQ_000057,51RUQ_20250916T024141,2025,5000,5000,32.67832048217765,False,False,False,False
ctx_51RUQ_000073,51RUQ_20250916T024141,2025,100,100,241.5585665959792,False,False,False,False
ctx_51RUQ_000073,51RUQ_20250916T024141,2025,500,500,77.13544078765717,False,False,False,False
ctx_51RUQ_000073,51RUQ_20250916T024141,2025,1000,1000,77.13544078765717,False,False,False,False
ctx_51RUQ_000073,51RUQ_20250916T024141,2025,5000,5000,34.86905220123927,False,False,False,False
ctx_51RUQ_000077,51RUQ_20250916T024141,2025,100,100,529.7307165689049,False,False,False,False
ctx_51RUQ_000077,51RUQ_20250916T024141,2025,500,500,206.39226126100277,False,False,False,False
ctx_51RUQ_000077,51RUQ_20250916T024141,2025,1000,1000,175.15517226939411,False,False,False,False
ctx_51RUQ_000077,51RUQ_20250916T024141,2025,5000,5000,4.788087253023978,False,True,True,True
ctx_51RUQ_000094,51RUQ_20250916T024141,2025,100,100,282.99446936373016,False,False,False,False
ctx_51RUQ_000094,51RUQ_20250916T024141,2025,500,500,133.5746157848608,False,False,False,False
ctx_51RUQ_000094,51RUQ_20250916T024141,2025,1000,1000,123.36875470966106,False,False,False,False
ctx_51RUQ_000094,51RUQ_20250916T024141,2025,5000,5000,75.43880984488128,False,False,False,False
ctx_51RUQ_000095,51RUQ_20250916T024141,2025,100,100,139.1353100273373,False,False,False,False
ctx_51RUQ_000095,51RUQ_20250916T024141,2025,500,500,117.33254436740131,False,False,False,False
ctx_51RUQ_000095,51RUQ_20250916T024141,2025,1000,1000,117.33254436740131,False,False,False,False
ctx_51RUQ_000095,51RUQ_20250916T024141,2025,5000,5000,59.603989455345896,False,False,False,False
ctx_51RUQ_000098,51RUQ_20250916T024141,2025,100,100,336.18213215302546,False,False,False,False
ctx_51RUQ_000098,51RUQ_20250916T024141,2025,500,500,336.18213215302546,False,False,False,False
ctx_51RUQ_000098,51RUQ_20250916T024141,2025,1000,1000,336.18213215302546,False,False,False,False
ctx_51RUQ_000098,51RUQ_20250916T024141,2025,5000,5000,16.415368582154308,False,False,False,False
ctx_51RUQ_000130,51RUQ_20250916T024141,2025,100,100,93.8216082253842,False,False,False,False
ctx_51RUQ_000130,51RUQ_20250916T024141,2025,500,500,93.8216082253842,False,False,False,False
ctx_51RUQ_000130,51RUQ_20250916T024141,2025,1000,1000,93.8216082253842,False,False,False,False
ctx_51RUQ_000130,51RUQ_20250916T024141,2025,5000,5000,26.6206365730271,False,False,False,False
ctx_51RUQ_000131,51RUQ_20250916T024141,2025,100,100,123.21729591566242,False,False,False,False
ctx_51RUQ_000131,51RUQ_20250916T024141,2025,500,500,123.21729591566242,False,False,False,False
ctx_51RUQ_000131,51RUQ_20250916T024141,2025,1000,1000,123.21729591566242,False,False,False,False
ctx_51RUQ_000131,51RUQ_20250916T024141,2025,5000,5000,13.254277240869014,False,False,False,False
ctx_51RUQ_000132,51RUQ_20250916T024141,2025,100,100,243.75281738298887,False,False,False,False
ctx_51RUQ_000132,51RUQ_20250916T024141,2025,500,500,243.75281738298887,False,False,False,False
ctx_51RUQ_000132,51RUQ_20250916T024141,2025,1000,1000,243.75281738298887,False,False,False,False
ctx_51RUQ_000132,51RUQ_20250916T024141,2025,5000,5000,26.31751651966844,False,False,False,False
ctx_51RUQ_000134,51RUQ_20250916T024141,2025,100,100,308.5230882894943,False,False,False,False
ctx_51RUQ_000134,51RUQ_20250916T024141,2025,500,500,231.36436761811603,False,False,False,False
ctx_51RUQ_000134,51RUQ_20250916T024141,2025,1000,1000,162.04773824706794,False,False,False,False
ctx_51RUQ_000134,51RUQ_20250916T024141,2025,5000,5000,36.27301355644975,False,False,False,False
ctx_51RUQ_000146,51RUQ_20250916T024141,2025,100,100,211.96176138641283,False,False,False,False
ctx_51RUQ_000146,51RUQ_20250916T024141,2025,500,500,116.7158851002735,False,False,False,False
ctx_51RUQ_000146,51RUQ_20250916T024141,2025,1000,1000,100.90733057643229,False,False,False,False
ctx_51RUQ_000146,51RUQ_20250916T024141,2025,5000,5000,100.90733057643229,False,False,False,False
ctx_51RUQ_000147,51RUQ_20250916T024141,2025,100,100,190.13577683037278,False,False,False,False
ctx_51RUQ_000147,51RUQ_20250916T024141,2025,500,500,73.28924861641993,False,False,False,False
ctx_51RUQ_000147,51RUQ_20250916T024141,2025,1000,1000,73.28924861641993,False,False,False,False
ctx_51RUQ_000147,51RUQ_20250916T024141,2025,5000,5000,34.61316561911503,False,False,False,False
ctx_51RUQ_000148,51RUQ_20250916T024141,2025,100,100,342.66690130819734,False,False,False,False
ctx_51RUQ_000148,51RUQ_20250916T024141,2025,500,500,144.4091154799911,False,False,False,False
ctx_51RUQ_000148,51RUQ_20250916T024141,2025,1000,1000,56.45647229448848,False,False,False,False
ctx_51RUQ_000148,51RUQ_20250916T024141,2025,5000,5000,45.476045696901494,False,False,False,False
ctx_51RUQ_000162,51RUQ_20250916T024141,2025,100,100,172.2306463492411,False,False,False,False
ctx_51RUQ_000162,51RUQ_20250916T024141,2025,500,500,172.2306463492411,False,False,False,False
ctx_51RUQ_000162,51RUQ_20250916T024141,2025,1000,1000,135.63294112919564,False,False,False,False
ctx_51RUQ_000162,51RUQ_20250916T024141,2025,5000,5000,50.035179085648245,False,False,False,False
ctx_51RUQ_000165,51RUQ_20250916T024141,2025,100,100,432.601309364942,False,False,False,False
ctx_51RUQ_000165,51RUQ_20250916T024141,2025,500,500,191.2541695347578,False,False,False,False
ctx_51RUQ_000165,51RUQ_20250916T024141,2025,1000,1000,132.24890001934958,False,False,False,False
ctx_51RUQ_000165,51RUQ_20250916T024141,2025,5000,5000,114.75209658696296,False,False,False,False
ctx_51RUQ_000179,51RUQ_20250916T024141,2025,100,100,382.977751409458,False,False,False,False
ctx_51RUQ_000179,51RUQ_20250916T024141,2025,500,500,96.94195059534957,False,False,False,False
ctx_51RUQ_000179,51RUQ_20250916T024141,2025,1000,1000,96.94195059534957,False,False,False,False
ctx_51RUQ_000179,51RUQ_20250916T024141,2025,5000,5000,93.2204977846181,False,False,False,False
ctx_51RUQ_000191,51RUQ_20250916T024141,2025,100,100,244.55760207568608,False,False,False,False
ctx_51RUQ_000191,51RUQ_20250916T024141,2025,500,500,172.81733001364387,False,False,False,False
ctx_51RUQ_000191,51RUQ_20250916T024141,2025,1000,1000,78.63974583640382,False,False,False,False
ctx_51RUQ_000191,51RUQ_20250916T024141,2025,5000,5000,68.68330135038134,False,False,False,False
ctx_51RUQ_000206,51RUQ_20250916T024141,2025,100,100,296.8172142789889,False,False,False,False
ctx_51RUQ_000206,51RUQ_20250916T024141,2025,500,500,112.71462151323082,False,False,False,False
ctx_51RUQ_000206,51RUQ_20250916T024141,2025,1000,1000,112.71462151323082,False,False,False,False
ctx_51RUQ_000206,51RUQ_20250916T024141,2025,5000,5000,39.9129365826601,False,False,False,False
ctx_51RUQ_000207,51RUQ_20250916T024141,2025,100,100,516.5842188102404,False,False,False,False
ctx_51RUQ_000207,51RUQ_20250916T024141,2025,500,500,119.79274302509573,False,False,False,False
ctx_51RUQ_000207,51RUQ_20250916T024141,2025,1000,1000,45.092392297506045,False,False,False,False
ctx_51RUQ_000207,51RUQ_20250916T024141,2025,5000,5000,1.5392591251791872,True,True,True,True
ctx_51RUQ_000219,51RUQ_20250916T024141,2025,100,100,97.02399165624705,False,False,False,False
ctx_51RUQ_000219,51RUQ_20250916T024141,2025,500,500,97.02399165624705,False,False,False,False
ctx_51RUQ_000219,51RUQ_20250916T024141,2025,1000,1000,97.02399165624705,False,False,False,False
ctx_51RUQ_000219,51RUQ_20250916T024141,2025,5000,5000,37.23681635341925,False,False,False,False
ctx_51RUQ_000243,51RUQ_20250916T024141,2025,100,100,476.9003174940018,False,False,False,False
ctx_51RUQ_000243,51RUQ_20250916T024141,2025,500,500,160.51008137824385,False,False,False,False
ctx_51RUQ_000243,51RUQ_20250916T024141,2025,1000,1000,158.95736285014223,False,False,False,False
ctx_51RUQ_000243,51RUQ_20250916T024141,2025,5000,5000,66.16739015364938,False,False,False,False
ctx_51RUQ_000244,51RUQ_20250916T024141,2025,100,100,168.26254243615014,False,False,False,False
ctx_51RUQ_000244,51RUQ_20250916T024141,2025,500,500,168.26254243615014,False,False,False,False
ctx_51RUQ_000244,51RUQ_20250916T024141,2025,1000,1000,0.2297320775090907,True,True,True,True
ctx_51RUQ_000244,51RUQ_20250916T024141,2025,5000,5000,0.2297320775090907,True,True,True,True
ctx_51RUQ_000254,51RUQ_20250916T024141,2025,100,100,865.5273815539166,False,False,False,False
ctx_51RUQ_000254,51RUQ_20250916T024141,2025,500,500,188.09112616841645,False,False,False,False
ctx_51RUQ_000254,51RUQ_20250916T024141,2025,1000,1000,125.57502490736842,False,False,False,False
ctx_51RUQ_000254,51RUQ_20250916T024141,2025,5000,5000,48.04482795527755,False,False,False,False
ctx_51RUQ_000255,51RUQ_20250916T024141,2025,100,100,185.8023286643796,False,False,False,False
ctx_51RUQ_000255,51RUQ_20250916T024141,2025,500,500,108.51975914011093,False,False,False,False
ctx_51RUQ_000255,51RUQ_20250916T024141,2025,1000,1000,88.51849273037298,False,False,False,False
ctx_51RUQ_000255,51RUQ_20250916T024141,2025,5000,5000,88.51849273037298,False,False,False,False
ctx_51RUQ_000256,51RUQ_20250916T024141,2025,100,100,2928.732361895443,False,False,False,False
ctx_51RUQ_000256,51RUQ_20250916T024141,2025,500,500,25.850523799718008,False,False,False,False
ctx_51RUQ_000256,51RUQ_20250916T024141,2025,1000,1000,9.141442820073227,False,False,True,False
ctx_51RUQ_000256,51RUQ_20250916T024141,2025,5000,5000,9.141442820073227,False,False,True,False
ctx_51RUQ_000265,51RUQ_20250916T024141,2025,100,100,237.43095520010587,False,False,False,False
ctx_51RUQ_000265,51RUQ_20250916T024141,2025,500,500,77.8819843498444,False,False,False,False
ctx_51RUQ_000265,51RUQ_20250916T024141,2025,1000,1000,77.8819843498444,False,False,False,False
ctx_51RUQ_000265,51RUQ_20250916T024141,2025,5000,5000,77.8819843498444,False,False,False,False
ctx_51RUQ_000277,51RUQ_20250916T024141,2025,100,100,202.72282107535224,False,False,False,False
ctx_51RUQ_000277,51RUQ_20250916T024141,2025,500,500,202.72282107535224,False,False,False,False
ctx_51RUQ_000277,51RUQ_20250916T024141,2025,1000,1000,202.72282107535224,False,False,False,False
ctx_51RUQ_000277,51RUQ_20250916T024141,2025,5000,5000,52.35253849902683,False,False,False,False
ctx_51RUQ_000279,51RUQ_20250916T024141,2025,100,100,450.641077159628,False,False,False,False
ctx_51RUQ_000279,51RUQ_20250916T024141,2025,500,500,165.89890611546213,False,False,False,False
ctx_51RUQ_000279,51RUQ_20250916T024141,2025,1000,1000,113.44833509083662,False,False,False,False
ctx_51RUQ_000279,51RUQ_20250916T024141,2025,5000,5000,20.055074126537804,False,False,False,False
ctx_51RUQ_000286,51RUQ_20250916T024141,2025,100,100,479.0792333525292,False,False,False,False
ctx_51RUQ_000286,51RUQ_20250916T024141,2025,500,500,106.62238662039194,False,False,False,False
ctx_51RUQ_000286,51RUQ_20250916T024141,2025,1000,1000,106.62238662039194,False,False,False,False
ctx_51RUQ_000286,51RUQ_20250916T024141,2025,5000,5000,30.137590787657626,False,False,False,False
ctx_51RUQ_000288,51RUQ_20250916T024141,2025,100,100,199.39530816322025,False,False,False,False
ctx_51RUQ_000288,51RUQ_20250916T024141,2025,500,500,199.39530816322025,False,False,False,False
ctx_51RUQ_000288,51RUQ_20250916T024141,2025,1000,1000,182.11714557841185,False,False,False,False
ctx_51RUQ_000288,51RUQ_20250916T024141,2025,5000,5000,36.633035536973466,False,False,False,False
ctx_51RUQ_000289,51RUQ_20250916T024141,2025,100,100,561.1430452819326,False,False,False,False
ctx_51RUQ_000289,51RUQ_20250916T024141,2025,500,500,160.20671885291253,False,False,False,False
ctx_51RUQ_000289,51RUQ_20250916T024141,2025,1000,1000,160.20671885291253,False,False,False,False
ctx_51RUQ_000289,51RUQ_20250916T024141,2025,5000,5000,160.20671885291253,False,False,False,False
